Country,Country_Code,Year,Broadband_Subscriptions,Internet_Users,Mobile_Subscriptions,RND_Expenditure,Secure_Servers
India,IND,1960,,,0.0,,
India,IND,1965,,,0.0,,
India,IND,1970,,,0.0,,
India,IND,1975,,,0.0,,
India,IND,1976,,,0.0,,
India,IND,1977,,,0.0,,
India,IND,1978,,,0.0,,
India,IND,1979,,,0.0,,
India,IND,1980,,,0.0,,
India,IND,1981,,,0.0,,
India,IND,1982,,,0.0,,
India,IND,1983,,,0.0,,
India,IND,1984,,,0.0,,
India,IND,1985,,,0.0,,
India,IND,1986,,,0.0,,
India,IND,1987,,,0.0,,
India,IND,1988,,,0.0,,
India,IND,1989,,,0.0,,
India,IND,1990,,0.0,0.0,,
India,IND,1991,,,0.0,,
India,IND,1992,,0.000111,0.0,,
India,IND,1993,,0.000218,0.0,,
India,IND,1994,,0.00107,0.0,,
India,IND,1995,,0.0262,0.007952054,,
India,IND,1996,,0.0463,0.033354344,0.63905,
India,IND,1997,,0.0708,0.08797845,0.68669,
India,IND,1998,,0.139,0.11703148,0.70378,
India,IND,1999,,0.273,0.181096675,0.72413,
India,IND,2000,,0.527532449930946,0.338124410074474,0.75699,
India,IND,2001,0.0046386553577176,0.660146377009928,0.606736120789472,0.73591,
India,IND,2002,0.0075081060012023,1.53787558175083,1.18440192230983,0.72567,
India,IND,2003,0.0125681968302295,1.68648997063625,3.01664660813064,0.71929,
India,IND,2004,0.0206867742681806,1.97613649190559,4.59686532886976,0.7569,
India,IND,2005,0.116742672757431,2.388099909,7.80651670797836,0.82411,
India,IND,2006,0.196098678184923,2.80549986534254,14.1574719620028,0.80473,
India,IND,2007,0.262875874276131,3.95,19.620786501083,0.80507,
India,IND,2008,0.437111073178848,4.38,28.7177007907217,0.85876,
India,IND,2009,0.632032113675308,5.12,42.8461358054675,0.83314,
India,IND,2010,0.883808841093522,7.5,60.4906435106584,0.78849,1.65744314967584
India,IND,2011,1.05858887089543,10.07,70.8725652125021,0.75502,2.25336486642335
India,IND,2012,1.17169600055105,11.10000038,67.6263517922249,0.74399,4.46086943243043
India,IND,2013,1.15197793176359,12.30000019,68.3966708179098,0.70642,6.08104687623525
India,IND,2014,1.20020374567342,13.5,71.9366825449914,0.70158,8.33741535327806
India,IND,2015,1.27578595315943,14.89999962,75.379332347226,0.6931,11.5306607845422
India,IND,2016,1.38795276378032,16.5,83.917838213735,0.66984,37.7418916475687
India,IND,2017,1.31327377028949,18.20000076,85.9703537817688,0.66603,121.20038474398
India,IND,2018,1.3217822859385,20.0813000379384,85.5500756367908,0.66001,184.79636635197
India,IND,2019,1.37913181839908,29.52350044,82.898144918237,0.65942,382.862055209059
India,IND,2020,1.63622632751685,43.40544313,82.2540479927426,0.64558,472.187112968085
India,IND,2021,1.9487996093033,49.2580986,81.603974311212,,528.190455501333
India,IND,2022,2.35231555917724,55.9,80.1818007717416,,729.692060044831
India,IND,2023,2.74534696441771,60.25230026,80.5631998772888,,966.082590066802
India,IND,2024,3.15046250037677,64.9434967,79.3526921826412,,1212.44166069372
India,IND,2025,,70.0,,,
