Country,Country_Code,Year,Secure_Servers,Indicator
India,IND,2010,1.65744314967584,secure_servers
India,IND,2011,2.25336486642335,secure_servers
India,IND,2012,4.46086943243043,secure_servers
India,IND,2013,6.08104687623525,secure_servers
India,IND,2014,8.33741535327806,secure_servers
India,IND,2015,11.5306607845422,secure_servers
India,IND,2016,37.7418916475687,secure_servers
India,IND,2017,121.20038474398,secure_servers
India,IND,2018,184.79636635197,secure_servers
India,IND,2019,382.862055209059,secure_servers
India,IND,2020,472.187112968085,secure_servers
India,IND,2021,528.190455501333,secure_servers
India,IND,2022,729.692060044831,secure_servers
India,IND,2023,966.082590066802,secure_servers
India,IND,2024,1212.44166069372,secure_servers
